subject,practice/real,trial#,target/nontarget,target_type,setsize,error,responsetime_ms,,,,
1280391,1,1,1,2,16,0,1253,,,,
1280391,1,2,1,2,16,0,700,,,,
1280391,1,3,1,1,8,0,1061,,,,
1280391,1,4,1,1,4,0,658,,,,
1280391,1,5,2,2,4,0,709,,,,
1280391,1,6,2,2,4,0,738,,,,
1280391,1,7,2,1,16,1,903,,,,
1280391,1,8,1,1,16,0,980,,,,
1280391,1,9,2,1,4,0,1212,,,,
1280391,1,10,1,1,4,0,983,,,,
1280391,1,11,2,1,8,0,1282,,,,
1280391,1,12,2,2,8,0,1169,,,,
1280391,2,1,2,1,8,0,1147,,,,
1280391,2,2,2,1,4,0,846,,,,
1280391,2,3,2,1,16,0,952,,,,
1280391,2,4,2,1,8,0,820,,,,
1280391,2,5,2,1,4,0,630,,,,
1280391,2,6,1,2,8,0,662,,,,
1280391,2,7,1,1,8,0,749,,,,
1280391,2,8,2,2,4,1,946,,,,
1280391,2,9,1,2,4,0,845,,,,
1280391,2,10,2,2,8,0,777,,,,
1280391,2,11,2,1,16,0,1022,,,,
1280391,2,12,1,1,16,1,783,,,,
1280391,2,13,2,1,4,0,876,,,,
1280391,2,14,1,2,4,0,845,,,,
1280391,2,15,2,1,8,1,749,,,,
1280391,2,16,1,1,8,0,958,,,,
1280391,2,17,1,2,8,1,725,,,,
1280391,2,18,1,2,4,1,664,,,,
1280391,2,19,2,2,4,1,816,,,,
1280391,2,20,2,1,4,0,2057,,,,
1280391,2,21,1,1,8,0,869,,,,
1280391,2,22,2,1,8,0,1374,,,,
1280391,2,23,2,1,8,1,852,,,,
1280391,2,24,1,1,16,1,990,,,,
1280391,2,25,1,1,4,1,1217,,,,
1280391,2,26,2,1,4,1,886,,,,
1280391,2,27,1,2,8,0,722,,,,
1280391,2,28,2,1,8,0,1216,,,,
1280391,2,29,1,1,4,0,977,,,,
1280391,2,30,2,1,16,0,1395,,,,
1280391,2,31,1,2,4,1,1085,,,,
1280391,2,32,1,2,16,0,896,,,,
1280391,2,33,1,2,16,0,848,,,,
1280391,2,34,2,1,16,0,1475,,,,
1280391,2,35,2,2,16,0,1132,,,,
1280391,2,36,1,1,8,1,1131,,,,
1280391,2,37,2,1,8,0,1103,,,,
1280391,2,38,2,2,16,0,1451,,,,
1280391,2,39,2,1,16,1,1493,,,,
1280391,2,40,1,1,16,1,1311,,,,
1280391,2,41,1,2,4,0,1276,,,,
1280391,2,42,1,1,8,0,1243,,,,
1280391,2,43,1,1,4,0,775,,,,
1280391,2,44,2,2,8,0,873,,,,
1280391,2,45,1,1,4,0,1087,,,,
1280391,2,46,2,1,16,1,1272,,,,
1280391,2,47,1,2,16,0,789,,,,
1280391,2,48,1,1,8,0,1216,,,,
1280391,2,49,1,1,8,1,985,,,,
1280391,2,50,1,2,16,0,1057,,,,
1280391,2,51,2,2,8,0,1004,,,,
1280391,2,52,1,2,16,0,868,,,,
1280391,2,53,2,1,4,0,1511,,,,
1280391,2,54,2,2,4,0,911,,,,
1280391,2,55,1,2,16,0,717,,,,
1280391,2,56,1,1,8,1,1424,,,,
1280391,2,57,1,1,4,0,1321,,,,
1280391,2,58,2,1,16,0,1466,,,,
1280391,2,59,2,1,4,1,797,,,,
1280391,2,60,2,2,8,1,325,,,,
1280391,2,61,1,1,16,0,1438,,,,
1280391,2,62,1,2,8,0,1135,,,,
1280391,2,63,1,2,8,0,934,,,,
1280391,2,64,2,1,16,0,1030,,,,
1280391,2,65,1,1,4,0,1506,,,,
1280391,2,66,1,2,4,0,761,,,,
1280391,2,67,1,2,8,0,659,,,,
1280391,2,68,1,1,4,0,700,,,,
1280391,2,69,1,2,4,0,510,,,,
1280391,2,70,1,2,4,0,542,,,,
1280391,2,71,2,2,16,0,426,,,,
1280391,2,72,1,1,16,0,265,,,,
1280391,2,73,2,1,4,0,1046,,,,
1280391,2,74,1,1,8,0,1024,,,,
1280391,2,75,2,1,16,0,1473,,,,
1280391,2,76,1,2,16,0,683,,,,
1280391,2,77,1,2,8,0,639,,,,
1280391,2,78,2,1,8,1,997,,,,
1280391,2,79,1,1,4,0,711,,,,
1280391,2,80,1,2,4,1,807,,,,
1280391,2,81,1,2,4,1,774,,,,
1280391,2,82,2,1,8,0,1027,,,,
1280391,2,83,1,2,4,0,929,,,,
1280391,2,84,1,1,8,1,833,,,,
1280391,2,85,2,1,4,0,1039,,,,
1280391,2,86,2,1,4,0,1275,,,,
1280391,2,87,1,2,16,0,767,,,,
1280391,2,88,1,2,8,0,758,,,,
1280391,2,89,1,1,16,1,703,,,,
1280391,2,90,2,2,8,0,722,,,,
1280391,2,91,2,2,4,0,701,,,,
1280391,2,92,2,1,4,0,909,,,,
1280391,2,93,2,2,8,0,863,,,,
1280391,2,94,2,2,8,0,635,,,,
1280391,2,95,1,1,8,1,800,,,,
1280391,2,96,1,1,16,1,1127,,,,
1280391,2,97,1,2,8,0,971,,,,
1280391,2,98,1,1,4,0,761,,,,
1280391,2,99,1,1,8,0,1478,,,,
1280391,2,100,1,1,8,1,1209,,,,
1280391,2,101,2,2,8,0,800,,,,
1280391,2,102,1,1,16,0,757,,,,
1280391,2,103,1,1,16,1,967,,,,
1280391,2,104,2,1,16,1,891,,,,
1280391,2,105,1,1,16,0,826,,,,
1280391,2,106,2,1,16,0,1648,,,,
1280391,2,107,1,2,16,0,875,,,,
1280391,2,108,1,1,4,0,704,,,,
1280391,2,109,2,1,8,1,458,,,,
1280391,2,110,2,1,8,0,938,,,,
1280391,2,111,1,2,16,0,530,,,,
1280391,2,112,2,1,8,0,1468,,,,
1280391,2,113,2,1,4,0,765,,,,
1280391,2,114,1,1,16,0,698,,,,
1280391,2,115,1,1,4,0,1186,,,,
1280391,2,116,2,1,4,0,972,,,,
1280391,2,117,1,2,16,0,985,,,,
1280391,2,118,2,1,16,0,861,,,,
1280391,2,119,2,2,8,0,1126,,,,
1280391,2,120,1,2,4,0,722,,,,
1280391,2,121,2,2,16,0,704,,,,
1280391,2,122,1,1,8,1,842,,,,
1280391,2,123,2,1,4,0,778,,,,
1280391,2,124,1,1,8,1,1160,,,,
1280391,2,125,2,2,16,0,1207,,,,
1280391,2,126,2,2,16,0,943,,,,
1280391,2,127,1,2,4,0,839,,,,
1280391,2,128,1,1,8,0,1818,,,,
1280391,2,129,1,1,16,0,595,,,,
1280391,2,130,2,2,16,0,690,,,,
1280391,2,131,2,1,16,1,273,,,,
1280391,2,132,1,2,16,0,130,,,,
1280391,2,133,1,2,8,0,872,,,,
1280391,2,134,2,2,16,0,135,,,,
